,ID,Recency,Frequency,Wines,Fruits,Meat,Fish,Sweets,Gold
679,9596,19,22,365,32,117,34,110,6
680,2891,51,29,595,23,123,10,23,154
681,4910,81,37,1132,134,384,175,134,115
682,75,32,23,34,11,137,179,61,45
683,10120,84,17,116,6,82,6,6,41
684,6327,87,18,565,32,435,28,32,54
685,10142,99,24,372,18,126,47,48,78
686,9826,96,24,899,102,838,133,102,40
687,1501,21,44,55,16,1622,17,3,4
688,10767,40,22,760,40,480,0,40,26
689,7279,3,17,260,86,559,63,9,67
690,7230,98,28,459,0,24,6,0,4
691,143,73,15,466,0,224,119,49,99
692,450,90,15,67,15,80,17,11,80
693,9316,29,11,2,0,7,3,7,10
694,6379,3,16,67,1,20,0,2,31
695,9239,94,11,92,4,18,3,3,6
696,8315,65,10,4,2,11,2,0,4
697,2868,33,16,20,1,28,3,3,2
698,10888,46,26,273,11,178,62,83,29
699,1277,29,32,434,22,388,104,22,34
700,9977,99,24,321,11,309,33,26,34
701,10196,26,24,212,123,177,15,64,23
702,6384,30,29,909,12,278,0,12,242
703,8029,27,16,1184,32,352,21,16,16
704,968,24,19,112,19,21,16,14,5
705,6988,93,26,656,80,455,52,107,93
706,4472,34,8,23,0,8,6,2,18
707,6991,88,28,537,6,42,16,6,30
708,3336,96,21,712,0,45,0,0,191
709,4301,10,12,23,1,13,2,2,18
710,1940,26,12,1,3,4,2,2,6
711,1272,49,31,664,58,83,32,0,66
712,1388,11,14,6,10,21,19,14,42
713,1044,44,24,299,5,201,21,21,49
714,6969,75,20,99,13,66,43,8,4
715,10479,64,12,749,40,294,121,160,147
716,3619,19,19,345,25,501,63,138,80
717,1715,45,14,9,4,18,7,5,5
718,10159,77,37,440,81,368,0,122,174
719,1463,9,11,8,2,5,3,0,3
720,5114,1,20,670,9,249,0,28,9
721,4990,90,28,524,0,134,28,28,155
722,4329,43,13,6,0,6,2,1,1
723,10936,79,19,597,166,597,172,166,249
724,4692,19,21,7,0,12,13,7,32
725,7212,99,12,54,0,7,0,0,4
726,6086,62,26,445,25,706,80,76,48
727,437,41,24,294,142,218,164,58,151
728,11171,60,28,292,3,77,10,3,26
729,11101,17,30,412,22,132,59,28,183
730,5329,24,9,8,0,3,0,0,0
731,610,60,31,349,4,78,6,0,43
732,9384,57,26,328,9,124,12,24,109
733,5956,74,24,144,2,99,7,2,30
734,10430,22,19,1126,28,211,37,28,42
735,7875,46,28,967,0,617,43,50,0
736,7072,69,23,432,79,341,177,136,170
737,6255,29,15,138,39,63,55,18,21
738,6516,37,11,0,0,1,7,4,6
739,5564,26,24,509,133,497,78,24,97
740,5682,8,35,948,10,86,13,21,21
741,7458,26,16,39,2,25,4,3,24
742,5237,79,14,28,1,21,3,0,10
743,7761,71,15,13,11,24,13,8,40
744,5278,83,24,307,26,360,138,31,40
745,3560,57,21,901,31,345,75,31,191
746,7235,37,14,2,5,12,4,8,7
747,10548,30,25,283,17,372,138,106,44
748,2281,34,11,4,3,7,0,3,11
749,4073,0,34,769,80,252,15,34,65
750,6974,89,24,518,42,742,55,56,84
751,7938,92,20,350,8,66,17,4,4
752,7094,87,28,445,53,213,104,98,151
753,3667,20,33,778,178,689,41,27,44
754,7723,56,24,709,93,374,104,80,80
755,3870,28,28,359,35,314,93,116,89
756,4012,55,29,799,12,375,16,12,12
757,5909,25,28,895,10,101,13,0,152
758,10470,0,12,40,2,23,0,4,23
759,6488,86,13,76,0,7,0,0,16
760,10270,8,15,11,5,22,12,5,11
761,6887,33,25,245,16,223,21,43,16
762,6406,13,24,647,107,391,175,67,40
763,7573,12,13,39,1,9,2,1,34
764,4508,92,20,203,35,305,46,17,227
765,221,90,18,138,3,38,4,0,59
766,5331,8,19,587,51,898,247,0,86
767,1911,6,35,595,97,291,127,133,121
768,20,91,12,43,12,23,29,15,61
769,8786,52,24,301,7,74,10,0,58
770,10582,3,23,180,32,348,76,32,90
771,1915,57,23,794,115,243,150,0,205
772,8897,9,33,392,5,91,28,26,112
773,2371,22,16,39,1,22,3,4,12
774,4303,76,21,107,2,12,2,2,12
775,6825,86,11,13,0,3,0,0,0
776,1072,64,14,70,0,17,0,0,6
777,4964,90,19,680,11,392,75,0,0
778,2461,79,9,26,1,11,0,1,4
779,10736,28,24,522,0,522,227,120,134
780,3194,86,20,412,12,546,78,182,0
781,10839,42,10,6,5,5,8,0,5
782,49,39,12,2,3,6,4,1,9
783,4290,8,11,1,3,8,2,5,5
784,10219,40,13,6,2,15,6,6,3
785,4211,5,14,4,12,5,3,16,17
786,1135,96,19,18,2,19,0,2,6
787,6299,28,31,324,48,186,39,18,198
788,10846,22,29,327,9,125,25,4,139
789,347,30,26,229,27,71,13,3,34
790,6543,45,16,521,168,706,80,76,61
791,10446,58,19,184,23,446,30,23,23
792,3479,49,13,4,8,11,12,2,13
793,11075,37,19,183,2,64,7,2,12
794,4442,70,12,31,19,35,26,14,52
795,199,33,20,219,3,60,12,9,12
796,6722,98,29,479,28,136,75,14,35
797,796,17,34,584,44,212,46,8,177
798,3749,54,27,627,91,597,159,91,15
799,8523,39,18,24,1,16,12,2,5
800,310,81,25,330,5,159,36,27,16
801,8629,71,10,19,1,10,2,1,8
802,236,62,16,28,23,29,29,14,47
803,9930,8,30,606,148,228,15,148,22
804,3483,76,33,1039,43,204,153,58,29
805,4599,66,28,411,0,26,0,0,21
806,7326,83,8,34,1,19,2,7,0
807,7352,28,20,161,28,136,32,3,45
808,2350,87,28,623,53,178,23,17,133
809,9145,43,24,604,26,470,123,161,94
810,2964,0,11,3,10,8,3,16,32
811,5585,1,15,12,2,17,6,1,10
812,9687,1,18,184,174,256,50,30,32
813,3732,72,31,393,0,239,90,69,69
814,6303,72,23,410,73,747,76,161,30
815,11176,12,21,376,9,83,19,4,4
816,2986,89,10,7,2,4,2,1,4
817,7462,67,28,68,0,226,51,157,68
818,3900,54,26,642,14,49,0,7,57
819,7034,34,15,8,7,9,13,6,12
820,9493,15,21,840,53,804,23,71,17
821,1143,43,14,7,10,13,3,11,11
822,1,0,23,464,5,64,7,0,37
823,3855,74,16,30,3,47,19,21,42
824,5536,61,26,1492,38,287,50,57,33
825,5989,51,32,752,122,476,39,153,34
826,9499,97,22,1279,15,287,20,0,15
827,6768,75,14,22,1,8,2,1,2
828,2150,83,26,860,28,409,73,56,56
829,6646,23,11,3,0,5,13,0,1
830,4887,65,11,10,5,28,11,1,8
831,8560,94,24,351,16,156,7,5,145
832,3321,42,25,421,5,90,0,16,10
833,11003,10,14,2,5,7,0,18,18
834,10402,94,14,25,1,9,2,1,1
835,9904,50,31,336,123,274,46,123,141
836,6141,46,21,191,9,97,0,6,82
837,5687,98,30,563,50,774,28,31,187
838,10856,42,11,31,0,6,0,1,8
839,5121,30,25,479,5,82,7,17,171
840,4186,11,14,18,6,15,12,8,17
841,368,61,19,91,65,52,10,44,28
842,3312,12,17,5,7,24,19,14,20
843,11121,76,20,2,14,28,16,3,7
844,5332,2,18,362,50,431,134,35,54
845,5848,43,21,724,74,929,97,55,130
846,10343,27,22,605,91,399,0,45,205
847,5935,60,28,547,7,140,0,7,63
848,2895,79,16,104,1,54,13,9,14
849,10262,96,16,8,2,15,0,10,18
850,7848,17,19,224,2,25,7,0,110
851,9477,0,24,384,0,102,21,32,5
852,4856,38,28,556,54,845,202,133,63
853,7186,43,11,24,0,2,0,0,9
854,5794,1,26,408,0,21,0,0,17
855,1456,25,38,265,199,303,234,9,170
856,4877,2,12,34,0,7,0,0,0
857,425,66,27,374,64,116,84,25,64
858,3007,49,14,27,2,10,0,0,1
859,1031,5,28,600,20,350,29,30,33
860,4297,71,15,13,2,18,6,1,0
861,807,35,25,167,2,89,0,0,34
862,9553,94,10,0,2,3,4,1,5
863,4271,80,24,46,35,69,84,41,66
864,4120,61,20,88,39,78,58,13,93
865,2036,29,21,243,11,119,10,3,15
866,115,0,22,275,11,68,25,7,7
867,4259,80,11,6,0,4,0,0,0
868,8687,54,19,121,62,90,68,20,125
869,2447,71,14,4,12,15,19,7,12
870,10140,27,20,1308,0,396,23,0,0
871,9353,61,19,515,47,267,62,66,38
872,3623,55,17,4,0,16,17,4,4
873,738,35,19,48,13,57,24,15,25
874,7631,34,26,562,58,168,43,16,142
875,4789,95,20,769,22,500,210,143,33
876,773,64,29,379,4,93,12,9,98
877,10602,30,17,29,12,59,19,1,36
878,1446,12,29,387,68,569,89,45,68
879,3270,96,20,12,23,38,30,18,7
880,8443,16,17,6,10,12,3,15,40
881,9653,16,15,27,1,14,4,1,21
882,8916,78,9,9,1,5,0,0,1
883,8017,83,13,22,0,19,6,5,3
884,5830,96,24,899,102,838,133,102,40
885,4597,67,20,889,55,685,168,92,129
886,7023,87,24,189,2,55,0,5,12
887,8086,34,14,48,0,2,0,0,5
888,8825,46,32,230,14,156,82,24,58
889,2930,7,25,852,60,207,78,36,48
890,1928,73,16,35,3,20,4,1,20
891,7108,54,23,205,20,47,23,2,56
892,10925,93,26,255,31,446,40,56,175
893,9960,52,11,0,0,1,8,3,2
894,8800,53,30,437,8,206,160,49,42
895,9224,81,31,825,8,53,11,0,242
896,5519,8,25,316,58,161,76,51,135
897,5046,97,29,756,138,354,160,169,61
898,7037,50,23,194,55,134,15,0,3
899,905,38,19,7,17,18,6,10,26
900,8624,61,20,183,33,493,59,103,57
901,8945,46,17,171,0,11,0,1,20
902,6445,73,18,243,101,405,29,40,40
903,2727,19,16,181,21,69,39,3,96
904,6404,10,21,151,7,89,0,7,28
905,11074,94,18,494,92,391,194,11,241
906,10150,10,20,464,28,873,29,18,37
907,1968,37,11,5,1,5,10,0,7
908,6534,94,11,29,0,29,0,5,4
909,9485,23,14,102,9,49,24,3,12
910,7053,75,23,604,28,674,91,28,28
911,4654,40,21,571,12,523,63,60,24
912,9760,24,39,953,0,71,0,0,174
913,1048,11,17,63,3,67,8,9,28
914,10619,29,21,770,29,890,250,27,24
915,9308,51,15,398,61,265,138,61,53
916,10505,86,17,741,19,154,50,9,28
917,8362,9,23,1478,19,403,0,19,0
918,2625,30,17,156,29,56,30,32,47
919,4637,73,28,960,64,464,146,0,16
920,9972,25,12,38,0,2,0,0,6
921,4483,67,20,315,26,473,220,12,182
922,4487,67,13,15,20,25,2,7,26
923,4988,58,13,19,6,20,0,5,12
924,8931,82,31,812,99,431,237,149,33
925,5871,98,24,73,28,217,10,24,115
926,2008,93,21,372,23,384,250,12,108
927,3139,53,21,871,111,704,145,55,166
928,10037,66,18,375,152,335,93,91,81
929,10673,6,24,760,80,466,17,13,80
930,5303,42,22,471,0,510,99,21,12
931,538,78,10,31,9,27,16,9,33
932,7922,29,32,819,0,72,12,0,63
933,5692,82,13,1,4,3,8,9,7
934,4843,92,20,203,35,305,46,17,227
935,6383,78,16,26,0,15,2,1,2
936,1628,54,21,354,21,311,167,75,32
937,1204,45,38,1253,0,447,23,71,35
938,3673,59,31,371,17,238,23,24,106
939,760,8,29,588,7,76,110,15,15
940,8957,51,28,480,86,249,75,86,144
941,4128,51,25,517,12,54,16,6,120
942,6810,76,13,267,98,606,48,70,98
943,5386,62,20,1111,24,790,160,45,172
944,8700,86,16,7,7,14,7,16,15
945,3202,60,27,1166,0,48,0,0,36
946,1328,56,23,261,42,144,55,48,133
947,8405,83,16,135,25,51,23,25,46
948,6515,92,10,6,2,18,2,8,14
949,2882,31,24,711,28,142,49,18,47
950,7574,80,10,11,0,13,2,4,11
951,6387,39,14,42,0,17,0,0,18
952,5320,20,18,79,7,58,6,3,18
953,5048,53,15,20,6,43,19,5,38
954,8146,84,11,30,0,8,2,0,14
955,10031,50,20,20,2,23,3,1,4
956,5748,96,21,115,27,44,4,146,139
957,2134,94,27,263,5,233,69,41,83
958,1523,25,13,69,2,15,2,2,6
959,9665,48,22,267,3,30,4,0,57
960,4640,65,28,561,85,171,25,123,114
961,3635,69,25,492,0,37,7,0,42
962,3547,12,13,14,7,9,6,16,12
963,2456,84,19,80,4,46,0,17,2
964,5633,47,22,97,12,84,13,10,15
965,7801,87,25,197,107,227,7,59,131
966,10489,35,25,693,21,925,31,24,84
967,7011,47,17,43,2,27,0,9,12
968,2620,48,12,14,0,2,0,0,7
969,3933,46,33,186,36,234,86,72,48
970,10981,27,19,434,137,400,45,137,45
971,1734,37,18,59,0,11,4,2,5
972,10995,8,18,16,5,30,8,7,26
973,6357,29,23,230,35,75,63,57,31
974,9209,85,26,829,138,430,60,92,15
975,10286,2,24,318,8,407,150,35,8
976,2611,66,20,1206,55,445,168,18,18
977,1600,60,28,292,3,77,10,3,26
978,3308,54,13,30,9,12,2,11,30
979,5407,70,35,729,17,133,11,0,195
980,2166,55,8,12,1,3,0,0,7
981,3955,20,14,2,1,1,1,0,1
982,6634,78,13,22,3,18,0,0,11
983,3056,63,35,587,43,337,42,87,54
984,5718,17,26,674,168,108,192,42,231
985,6872,43,20,284,3,84,4,7,23
986,8164,13,21,1023,93,651,49,55,37
987,4580,46,31,1394,22,708,89,91,182
988,9305,65,29,311,26,640,180,37,121
989,453,1,12,27,0,12,0,1,5
990,8545,6,18,1296,17,311,45,69,51
991,9850,32,11,3,6,7,0,0,3
992,7378,34,31,393,5,136,7,5,27
993,7646,70,28,218,63,282,137,35,70
994,1640,49,11,66,0,16,0,6,20
995,5184,65,10,4,2,11,2,0,4
996,8492,25,29,795,0,545,95,58,0
997,11188,84,14,15,10,19,8,17,20
998,1212,7,31,384,25,292,130,41,64
999,9097,34,20,244,8,32,7,2,50
1000,10473,38,27,158,19,288,25,0,38
1001,7962,1,13,1285,21,449,106,20,20
1002,9984,25,30,349,16,144,28,5,182
1003,5527,25,15,4,12,11,3,13,15
1004,6374,50,24,223,2,31,0,2,39
1005,7453,46,25,157,43,127,68,56,37
1006,8952,96,26,397,46,288,20,38,70
1007,241,57,21,901,31,345,75,31,191
1008,8975,47,18,14,3,21,2,1,28
1009,6119,52,10,10,0,3,0,0,4
1010,5236,30,26,1230,0,396,232,178,158
1011,5723,63,10,81,1,31,2,1,0
1012,1710,51,27,154,20,66,0,12,27
1013,1970,14,15,63,0,21,7,0,12
1014,5313,20,14,30,0,11,0,0,3
1015,10634,56,18,90,67,165,30,43,11
1016,7010,41,23,635,114,254,132,152,76
1017,8562,72,13,127,4,73,15,6,11
1018,3158,1,13,13,3,6,6,5,6
1019,4436,27,15,18,42,24,15,20,18
1020,5287,77,17,45,2,26,4,1,1
1021,2445,87,14,38,1,24,0,0,0
1022,6059,81,32,986,36,168,16,0,108
1023,4550,51,11,61,0,3,0,0,7
1024,4240,79,15,4,9,16,17,0,12
1025,8911,11,25,201,53,172,116,77,83
1026,3706,54,14,19,8,29,0,12,26
1027,3628,93,16,4,8,11,19,12,26
1028,10175,0,9,18,0,2,0,0,2
1029,8985,54,38,806,80,161,120,11,33
1030,5204,21,25,380,98,733,110,112,28
1031,9220,58,23,576,172,961,125,115,19
1032,9888,3,18,458,81,356,106,50,40
1033,5263,99,13,5,10,13,3,8,16
1034,1020,70,21,350,60,568,110,133,145
1035,9503,65,21,39,33,130,41,26,44
1036,10613,44,15,26,1,16,2,2,15
1037,67,6,16,68,0,16,0,0,8
1038,6019,9,12,45,3,9,4,4,7
1039,5863,95,26,359,0,134,13,26,123
1040,3717,70,21,403,24,29,6,24,218
1041,6730,92,16,34,1,14,0,0,5
1042,10749,62,35,73,18,66,7,12,2
1043,4998,85,16,292,30,415,63,33,200
1044,6287,2,11,14,0,16,0,0,6
1045,5985,0,17,80,1,37,0,1,3
1046,4754,91,11,30,11,33,13,6,29
1047,4002,3,30,463,96,333,168,53,10
1048,8870,68,26,75,12,141,43,39,187
1049,966,98,30,538,13,91,17,6,26
1050,4767,41,23,635,114,254,132,152,76
1051,9725,16,12,8,0,3,0,0,1
1052,4475,82,30,1315,22,780,145,0,178
1053,5740,1,13,4,2,12,7,5,26
1054,5731,64,12,12,0,13,2,0,10
1055,7290,68,23,347,44,534,17,0,26
1056,3846,98,23,192,5,53,0,5,15
1057,8104,32,19,241,0,12,0,0,25
1058,4507,87,25,631,28,491,30,14,56
1059,11013,84,18,336,28,282,184,54,54
1060,4491,3,36,1099,0,45,0,0,34
1061,3759,34,31,743,19,181,12,0,200
1062,1162,23,25,124,83,267,85,59,35
1063,2055,37,11,15,0,8,4,2,20
1064,10766,22,19,397,19,69,12,0,9
1065,4415,19,15,10,4,4,3,3,14
1066,3005,7,24,530,117,678,134,44,147
1067,2223,52,39,1215,33,249,64,116,149
1068,4817,91,12,3,2,7,0,4,2
1069,2875,93,26,444,44,382,11,8,17
1070,10536,78,16,26,0,15,2,1,2
1071,11112,23,28,736,114,279,82,76,190
1072,3807,83,29,473,21,176,19,21,56
1073,9197,92,12,32,0,5,2,0,8
1074,10832,4,20,288,10,30,4,10,125
1075,6421,32,22,1050,178,555,77,138,118
1076,4207,27,27,1001,44,107,58,44,44
1077,577,10,13,9,1,7,0,3,2
1078,10855,9,20,234,14,77,19,10,42
1079,3081,65,11,7,2,6,2,0,3
1080,3535,68,15,251,108,334,65,92,117
1081,247,16,28,172,10,125,21,13,16
1082,8707,12,19,565,42,548,64,83,99
1083,9523,95,8,5,0,8,2,0,0
1084,6072,16,23,918,57,842,99,38,133
1085,6295,46,34,652,8,158,21,0,142
1086,10914,3,10,4,1,7,2,1,2
1087,1509,80,27,152,27,103,106,54,81
1088,5577,77,10,8,0,9,2,1,3
1089,7348,0,19,336,130,411,240,32,43
1090,1127,62,22,938,19,843,25,95,38
1091,1833,91,14,68,8,18,19,8,12
1092,4944,24,19,227,23,389,42,21,75
1093,9080,2,17,38,4,22,3,3,3
1094,6466,22,13,105,0,9,2,1,4
1095,9964,56,19,162,50,100,55,30,27
1096,4790,54,14,574,8,216,21,16,33
1097,10245,71,16,160,80,369,67,39,41
1098,1109,38,11,6,0,5,0,0,1
1099,6001,62,30,614,35,160,58,35,35
1100,5538,78,18,897,161,430,186,161,27
1101,10552,18,19,70,54,109,80,9,45
1102,1545,95,28,120,19,206,25,19,54
1103,7409,66,18,211,2,30,7,7,10
1104,4444,28,14,11,0,16,7,6,21
1105,146,78,23,760,53,400,17,93,0
1106,6271,13,11,53,0,8,0,0,2
1107,10065,27,13,7,4,13,15,8,17
1108,4741,17,24,391,32,70,21,32,16
1109,246,71,23,199,9,57,20,21,6
1110,375,79,17,516,56,449,86,33,16
1111,1524,1,21,709,45,115,30,160,45
1112,10022,78,9,12,0,4,0,0,0
1113,7451,23,20,1000,19,711,125,115,38
1114,11010,75,17,19,3,18,3,1,0
1115,4356,70,20,1224,28,140,0,14,168
1116,3885,10,13,16,2,18,3,0,24
1117,1175,24,18,88,39,54,64,28,153
1118,880,47,14,2,23,11,8,6,46
1119,2320,98,32,508,11,59,23,5,29
1120,850,4,25,381,28,215,84,28,21
1121,4713,15,16,74,0,42,2,1,6
1122,675,67,23,146,0,93,7,13,73
1123,5025,32,11,23,17,23,43,20,9
1124,2308,40,21,110,5,137,26,23,29
1125,5995,54,28,165,3,147,4,24,41
1126,6749,78,26,957,47,494,82,47,95
1127,1010,94,10,41,0,17,3,1,16
1128,8977,51,8,1,3,4,2,3,11
1129,4756,42,29,176,29,818,0,33,112
1130,3412,67,24,815,8,53,11,0,70
1131,606,87,11,6,1,2,2,0,4
1132,5961,29,10,8,4,20,6,3,16
1133,2975,89,27,717,42,864,219,30,84
1134,2894,74,25,1067,138,750,0,19,39
1135,7613,97,20,166,5,107,11,8,29
1136,10542,63,18,29,4,34,2,4,4
1137,8015,88,21,714,76,395,116,0,12
1138,10617,34,13,8,4,10,2,2,4
1139,11166,81,21,229,5,56,3,2,20
1140,849,65,26,320,48,133,39,72,48
1141,523,51,12,23,0,26,7,15,3
1142,4066,76,13,1,5,8,4,8,20
1143,8414,76,15,56,0,12,0,0,18
1144,819,84,28,508,124,249,50,38,134
1145,4961,56,15,29,0,25,2,2,3
1146,749,31,15,46,7,59,2,4,27
1147,5430,0,39,454,0,171,8,19,32
1148,7755,91,24,350,3,39,0,0,19
1149,10525,40,13,10,0,8,0,0,9
1150,1453,59,33,735,40,183,52,20,30
1151,8310,96,30,897,126,196,91,112,37
1152,10710,61,12,5,2,3,3,0,5
1153,5031,14,28,777,35,731,39,137,114
1154,2613,16,13,162,6,37,6,13,13
1155,213,98,17,35,0,11,0,0,2
1156,967,11,33,342,9,112,19,14,19
1157,1077,52,19,258,105,239,237,172,9
1158,7959,19,12,658,80,483,123,13,13
1159,640,61,30,356,80,329,138,17,106
1160,4252,73,17,213,5,28,7,7,41
1161,8432,0,39,454,0,171,8,19,32
1162,6218,74,24,457,4,29,0,0,9
1163,6905,55,23,241,45,604,34,26,54
1164,5922,48,19,210,0,6,0,0,2
1165,3598,53,26,441,35,83,7,29,11
1166,6116,13,9,19,13,18,10,7,8
1167,6263,34,17,28,9,37,12,7,13
1168,10486,54,19,476,75,162,29,151,97
1169,2410,69,17,364,40,425,158,60,50
1170,193,81,9,0,0,2,3,3,8
1171,3363,99,13,0,6,3,7,6,12
1172,8278,3,21,863,83,547,86,99,33
1173,10660,61,24,349,7,35,0,0,47
1174,8686,65,15,5,23,15,0,18,14
1175,1604,93,18,184,2,19,8,8,4
1176,5907,24,12,8,0,8,0,0,2
1177,10669,8,20,277,21,64,62,21,25
1178,2918,72,14,44,5,19,0,4,19
1179,5735,29,19,1156,120,915,94,144,96
1180,359,33,26,373,14,83,6,9,19
1181,8387,68,17,134,8,76,6,0,11
1182,1829,55,28,1148,0,60,0,0,24
1183,3839,76,17,6,12,3,21,6,40
1184,9392,17,11,4,1,11,0,0,1
1185,2292,94,10,5,4,8,2,0,5
1186,10466,86,11,24,2,20,2,2,10
1187,9855,25,30,899,0,101,0,0,20
1188,4088,22,18,108,1,28,13,1,4
1189,5231,15,10,27,2,7,0,2,13
1190,590,35,19,816,66,549,216,66,99
1191,8732,81,29,1298,0,70,37,14,42
1192,2315,55,10,10,0,11,17,29,29
1193,3515,94,14,87,13,34,10,6,10
1194,2245,50,16,57,2,51,4,2,23
1195,6283,64,28,635,15,100,20,7,131
1196,2246,91,12,43,12,23,29,15,61
1197,6606,11,27,964,34,137,15,0,11
1198,5545,72,15,572,8,259,34,35,80
1199,7342,6,32,341,142,113,259,151,66
1200,837,0,16,63,6,57,13,13,22
1201,9500,66,29,221,104,169,102,78,84
1202,3602,42,15,140,3,29,4,5,14
1203,234,60,13,1,2,8,4,3,13
1204,2995,64,18,291,10,689,84,10,0
1205,1118,87,30,544,13,85,8,6,29
1206,7789,96,28,684,100,801,21,66,0
1207,3068,1,13,1,12,9,0,14,7
1208,8955,54,10,35,0,4,0,0,10
1209,945,53,16,87,3,25,3,2,13
1210,5644,96,22,309,3,24,4,3,20
1211,7192,58,19,172,73,93,95,78,34
1212,2324,12,35,625,38,242,50,34,76
1213,697,78,24,972,59,913,25,19,59
1214,3439,64,21,157,6,39,6,13,75
1215,1506,26,17,48,9,45,3,15,20
1216,232,8,20,279,83,88,32,14,34
1217,8876,49,22,132,0,16,0,0,4
1218,4500,56,26,919,0,505,99,30,45
1219,9739,55,15,62,0,22,3,1,26
1220,10395,25,18,1,45,3,4,6,42
1221,1176,50,12,2,6,4,3,1,9
1222,1627,84,26,408,61,109,48,122,41
1223,938,30,15,51,1,7,2,1,25
1224,2740,81,16,62,1,16,3,2,6
1225,257,74,23,952,12,180,47,12,12
1226,4058,76,28,618,15,106,20,7,45
1227,7736,36,12,11,7,12,2,2,27
1228,8210,64,22,318,3,17,4,7,56
1229,833,62,16,56,0,14,0,0,2
1230,6230,53,22,110,5,59,7,1,7
1231,7325,86,10,23,0,11,2,1,3
1232,1307,15,14,27,5,8,8,3,12
1233,1502,67,15,18,3,19,3,3,6
1234,6211,47,11,18,0,9,0,1,11
1235,843,47,31,303,0,280,60,147,15
1236,4174,81,11,97,1,19,2,0,11
1237,9757,98,26,997,15,414,99,30,76
1238,6918,56,13,5,4,13,8,0,4
1239,286,48,18,95,11,35,0,4,7
1240,11086,18,12,1,6,2,3,6,3
1241,1921,74,11,46,1,12,3,0,9
1242,4138,68,24,411,106,147,54,115,66
1243,7718,36,11,244,51,270,101,0,45
1244,1291,90,24,152,9,121,12,12,45
1245,6862,65,35,1,1,3,1,1,1
1246,4136,63,20,10,17,18,8,26,40
1247,803,82,9,12,0,5,0,0,4
1248,4298,63,12,5,0,4,0,0,1
1249,10833,55,33,790,19,133,12,0,19
1250,9606,64,16,882,29,514,38,29,44
1251,8534,51,32,615,28,259,12,48,30
1252,5153,97,40,1004,59,265,115,59,27
1253,961,92,21,133,27,421,13,195,71
1254,5011,51,29,595,23,123,10,23,154
1255,6653,72,25,293,0,87,4,11,23
1256,9094,39,22,313,15,47,20,0,192
1257,810,49,21,151,81,86,168,91,64
1258,5493,21,10,15,0,2,0,0,6
1259,2147,91,25,736,63,946,219,189,126
1260,5107,37,11,15,0,8,4,2,20
1261,3979,98,19,982,17,672,23,34,51
1262,6049,85,30,1142,51,415,90,69,37
1263,8147,40,16,28,0,11,0,0,9
1264,1857,2,14,46,0,12,0,2,23
1265,3910,78,18,897,161,430,186,161,27
1266,5207,41,37,489,6,152,8,6,132
1267,11114,94,16,25,4,9,6,8,32
1268,5429,10,16,145,1,33,2,1,1
1269,9400,73,21,630,26,611,44,18,54
1270,1740,22,20,760,38,104,50,9,38
1271,7488,30,27,420,15,186,151,38,15
1272,195,21,22,125,17,52,3,19,30
1273,635,51,33,464,5,64,7,0,70
1274,7527,97,17,6,6,29,12,15,8
1275,10319,56,30,1090,12,96,16,12,60
1276,2296,4,10,3,2,11,2,2,10
1277,10637,77,15,24,0,27,8,30,10
1278,2931,95,25,737,21,106,55,63,210
1279,907,36,23,254,6,71,4,0,27
1280,3698,13,21,817,185,687,145,55,241
1281,9516,90,35,620,54,239,99,98,119
1282,679,49,15,13,4,20,0,0,1
1283,7384,18,25,113,61,204,34,26,47
1284,5043,89,20,7,23,78,133,49,144
1285,5267,43,12,16,2,18,2,1,5
1286,339,82,25,462,0,24,6,0,4
1287,2516,84,11,22,2,10,6,4,34
1288,9010,80,25,968,147,842,137,42,210
1289,378,68,27,283,112,151,51,72,125
1290,4808,12,11,1,2,5,6,0,3
1291,5068,75,14,14,1,7,2,1,1
1292,7628,10,13,30,5,24,6,3,8
1293,7128,91,11,4,0,5,0,1,5
1294,2811,21,11,52,0,9,0,0,1
1295,3551,28,12,62,1,57,19,11,48
1296,1663,97,14,20,2,14,3,0,10
1297,5543,49,30,545,7,114,37,21,78
1298,1577,14,16,558,79,622,207,175,95
1299,10641,5,16,6,5,4,13,4,25
1300,5336,37,3,39,1,9,2,0,8
1301,6024,62,20,1111,24,790,160,45,172
1302,1878,83,13,4,6,8,6,3,10
1303,3099,48,25,183,5,65,3,5,49
1304,6055,94,22,546,72,376,94,145,72
1305,5841,61,33,606,7,155,10,0,54
1306,3972,70,27,266,6,51,8,6,64
1307,4394,43,25,1142,29,249,38,29,14
1308,5758,23,34,1074,0,69,0,0,46
1309,6658,37,38,771,51,154,54,10,154
1310,4603,50,25,371,32,189,0,58,6
1311,8427,78,27,556,14,717,210,0,43
1312,10260,74,22,202,5,74,11,5,14
1313,7143,14,28,209,162,209,41,162,37
1314,8789,77,18,35,40,111,36,40,12
1315,6197,39,18,37,0,17,0,0,3
1316,4554,89,21,171,45,73,59,10,90
1317,4937,62,12,12,2,20,3,2,5
1318,1920,59,15,44,4,21,6,0,27
1319,8749,68,9,20,2,9,4,6,20
1320,1650,13,30,779,86,537,34,69,138
1321,10377,37,21,170,6,97,24,12,88
1322,9206,36,27,491,48,231,112,105,134
1323,10971,28,25,173,8,107,7,2,176
1324,6398,2,16,7,10,13,16,0,4
1325,9212,17,35,1205,0,235,19,14,205
1326,7937,86,14,10,7,25,6,3,7
1327,839,54,14,97,4,44,6,1,18
1328,4246,2,19,67,11,26,4,3,262
