,ID,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Duration_Customer,Frequency,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Discount,Web,Catalog,Store,Web_visit,Campaign 1,Campaign 2,Campaign 3,Campaign 4,Campaign 5,Complain,Response,Income_Class,Age_Class
547,4368,43,1,1,47850.0,1,0,3405,14,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,1,1
548,9671,55,1,1,19514.0,1,1,3351,18,47,14,3,21,2,1,28,4,3,1,2,8,0,0,1,0,0,0,1,0,2
549,2256,50,2,1,27159.0,1,1,3289,12,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,0,1
550,4279,60,2,0,39548.0,1,1,3287,10,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,1,2
551,5371,34,1,0,21474.0,1,0,3279,15,0,6,16,24,11,0,34,2,3,1,2,7,0,0,1,0,0,0,1,0,0
552,9240,52,3,0,60504.0,0,1,3339,24,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,2,2
553,9460,60,1,1,22419.0,0,0,3634,16,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,0,2
554,9504,74,2,1,81698.0,0,0,3432,26,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,3,3
555,8692,71,1,1,43462.0,1,1,3852,24,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,1,3
556,448,45,3,0,54880.0,1,0,3682,26,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,2,1
557,8314,41,1,1,79908.0,0,0,3647,21,30,557,129,761,29,185,111,1,5,6,7,2,0,0,0,0,1,0,0,3,1
558,8420,53,2,1,15315.0,0,0,3527,13,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,0,2
559,3174,64,1,1,87771.0,0,1,3600,26,61,1492,38,287,50,57,33,1,5,10,4,6,1,1,0,1,1,0,1,3,2
560,7685,45,1,1,33039.0,1,0,3490,12,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,0,1
561,3179,43,1,0,81741.0,0,0,3575,21,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,3,1
562,9780,52,2,1,71499.0,0,1,3566,30,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,3,2
563,10681,53,2,1,62466.0,0,1,3362,30,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,2,2
564,10232,60,3,0,48799.0,0,1,3433,18,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,1,2
565,4184,73,3,1,52157.0,0,1,3219,16,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,2,3
566,9120,61,1,0,66565.0,0,1,3768,27,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,2,2
567,891,72,2,1,29298.0,1,1,3492,9,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,0,3
568,10381,44,1,0,47691.0,0,1,3556,10,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,1,1
569,3525,53,1,1,38200.0,1,1,3766,11,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,1,2
570,6818,49,1,1,44989.0,0,1,3852,22,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,1,1
571,3526,55,3,1,38443.0,1,1,3350,13,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,1,2
572,8181,45,2,0,38593.0,1,0,3486,19,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,1,1
573,1029,53,3,1,64413.0,0,1,3529,17,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,2,2
574,7369,42,2,1,36959.0,1,0,3467,15,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,1,1
575,2574,46,3,1,61996.0,0,1,3711,26,27,1050,12,144,0,0,24,3,6,4,8,5,1,1,0,1,0,0,1,2,1
576,8159,55,1,1,51287.0,1,1,3286,18,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,1,2
577,1160,53,1,1,13260.0,1,1,3507,18,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,0,2
578,10242,57,3,1,47472.0,1,1,3483,13,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,1,2
579,5253,67,2,1,54603.0,1,1,3552,23,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,2,3
580,5966,49,3,1,45207.0,1,1,3793,21,64,203,0,10,0,0,2,5,3,1,6,6,0,0,0,1,0,0,0,1,1
581,5314,72,1,1,40689.0,0,1,3665,28,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,1,3
582,5081,56,2,1,47821.0,1,1,3449,13,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,1,2
583,5123,72,2,1,27450.0,0,0,3637,14,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,0,3
584,5756,40,1,1,39453.0,1,0,3284,13,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,1,0
585,8036,52,2,1,26850.0,1,1,3269,15,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,0,2
586,9058,68,1,0,79800.0,0,0,3841,25,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,0,1,0,1,3,3
587,5057,62,2,1,61794.0,0,1,3485,22,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,2,2
588,254,68,1,1,53863.0,0,1,3240,25,4,399,4,30,6,4,30,3,7,1,7,7,0,0,0,1,0,0,0,2,3
589,4179,64,1,1,24221.0,0,0,3510,10,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,0,2
590,3710,39,3,0,39684.0,1,0,3822,14,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,1,0
591,7627,48,2,1,92163.0,0,0,3761,23,25,817,183,797,106,163,20,0,5,11,5,2,1,0,0,0,1,0,1,3,1
592,4501,58,2,0,69882.0,0,0,3428,21,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,3,2
593,6424,46,1,1,33178.0,1,0,3347,9,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,0,1
594,3075,51,3,1,59973.0,0,0,3488,16,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,2,2
595,4992,48,2,1,17459.0,1,0,3480,16,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,0,1
596,5252,54,1,0,23910.0,1,0,3808,13,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,0,2
597,7444,54,2,1,42169.0,1,1,3450,14,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,1,2
598,6919,45,2,1,26224.0,1,0,3587,15,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,0,1
599,3537,42,1,1,31089.0,1,0,3878,18,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,0,1
600,10277,62,1,0,30081.0,0,1,3690,12,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,0,2
601,2453,63,1,1,62807.0,0,1,3864,28,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,2,2
602,7972,68,1,0,72906.0,0,0,3482,18,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,3,3
603,895,75,3,1,61467.0,0,2,3764,25,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,2,3
604,1177,57,2,1,49618.0,1,1,3716,18,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,1,2
605,7141,37,2,0,21888.0,1,0,3744,22,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,0,0
606,7232,50,1,0,42429.0,0,1,3335,12,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1,1
607,8477,67,1,0,26150.0,2,1,3672,12,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,0,3
608,2457,48,0,1,30801.0,0,1,3808,13,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,0,1
609,988,58,1,1,81168.0,0,0,3250,21,84,410,0,592,147,22,22,1,6,4,7,3,1,0,0,0,0,0,0,3,2
610,7930,54,2,0,26877.0,0,0,3511,18,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,0,2
611,4587,79,2,0,45006.0,0,0,3543,15,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,1,3
612,6682,50,0,1,18978.0,1,0,3762,13,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,0,1
613,6222,56,1,1,22574.0,2,1,3441,14,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,0,2
614,10299,54,3,0,48240.0,0,0,3794,30,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,1,2
615,3083,49,1,1,45837.0,1,1,3535,25,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,1,1
616,8953,58,2,0,35791.0,2,1,3616,14,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,1,2
617,1503,47,3,1,162397.0,1,1,3588,2,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,3,1
618,8650,45,1,0,54162.0,1,1,3665,9,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,2,1
619,10862,63,2,1,30522.0,0,1,3878,19,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,0,2
620,2782,62,3,1,54456.0,0,1,3550,23,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,2,2
621,6941,52,1,0,31632.0,0,0,3547,13,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,0,2
622,10972,74,1,0,72298.0,0,0,3308,15,52,625,35,169,58,17,35,1,4,3,6,1,0,0,0,1,1,0,0,3,3
623,10708,45,2,0,36975.0,1,0,3380,12,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,1,1
624,6583,68,2,1,72635.0,0,0,3588,24,54,390,22,323,104,35,107,1,6,8,6,3,1,0,0,0,0,0,0,3,3
625,3641,47,1,1,13624.0,1,0,3722,13,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,0,1
626,10156,48,1,0,84196.0,0,1,3588,23,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,3,1
627,4299,63,1,1,70971.0,0,1,3843,41,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,3,2
628,3469,46,3,0,34487.0,1,1,3858,18,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,0,1
629,5063,46,1,0,28769.0,1,0,3755,21,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,0,1
630,10727,53,3,1,69084.0,1,0,3419,33,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,3,2
631,9624,65,3,1,65488.0,0,0,3213,15,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,2,2
632,5156,53,2,1,62466.0,0,1,3362,30,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,2,2
633,4376,63,2,0,32218.0,0,0,3331,14,27,10,24,15,13,1,30,1,2,1,3,7,0,0,1,0,0,0,1,0,2
634,8923,50,1,0,83917.0,0,0,3634,24,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,3,1
635,8461,61,1,0,46102.0,2,1,3308,11,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,1,2
636,6945,71,1,0,84574.0,0,0,3587,37,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,3,3
637,944,61,1,1,56181.0,0,1,3734,18,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,2,2
638,1907,73,2,0,63120.0,0,1,3836,33,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,2,3
639,701,52,1,1,73691.0,0,1,3432,20,58,707,21,250,85,43,73,2,6,2,8,2,0,0,1,0,0,0,0,3,2
640,3856,63,1,1,63381.0,0,1,3829,28,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,2,2
641,4149,75,3,1,76140.0,0,0,3244,23,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,3,3
642,2131,64,3,0,62859.0,0,1,3743,29,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,2,2
643,2942,59,1,0,45906.0,0,1,3615,20,20,305,3,27,4,3,144,2,5,4,4,5,0,0,1,0,0,0,0,1,2
644,1173,76,2,1,77632.0,0,0,3673,15,73,1200,105,758,0,42,147,1,4,2,6,2,0,0,0,1,1,0,1,3,3
645,4381,52,3,1,46463.0,1,1,3512,23,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,1,2
646,4611,53,1,1,105471.0,0,0,3721,33,36,1009,181,104,202,21,207,0,9,8,13,3,1,0,0,0,1,0,1,3,2
647,3376,53,2,0,55282.0,1,0,3395,15,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,2,2
648,4679,46,2,1,78710.0,0,1,3234,32,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,3,1
649,10928,65,1,1,66886.0,0,1,3483,22,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,2,2
650,4248,63,2,0,98777.0,0,0,3329,20,23,1000,19,711,125,115,38,0,4,6,9,1,0,0,0,1,0,0,0,3,2
651,6728,38,1,1,29103.0,1,0,3868,15,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,0,0
652,6661,49,1,1,67445.0,0,1,3883,38,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,2,1
653,4725,73,3,1,50616.0,0,1,3274,9,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,1,3
654,3277,68,1,0,49431.0,0,1,3892,23,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,1,3
655,5555,48,1,0,153924.0,0,0,3339,0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
656,2564,70,1,1,61278.0,0,1,3373,16,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,2,3
657,946,65,2,1,26490.0,0,0,3842,17,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,0,2
658,3867,76,3,1,73059.0,0,1,3499,30,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,3,3
659,6940,57,3,0,46734.0,1,2,3448,18,86,100,1,39,6,1,76,4,3,2,3,6,0,0,1,0,0,0,0,1,2
660,55,60,1,1,56253.0,0,1,3766,28,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,2,2
661,7093,38,1,1,19986.0,1,0,3424,11,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,0,0
662,5084,48,1,0,58330.0,0,1,3383,28,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,2,1
663,1777,43,0,1,25965.0,0,0,3857,14,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,0,1
664,8162,67,2,1,14661.0,0,0,3741,11,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,0,3
665,10826,64,1,1,18690.0,0,0,3745,13,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,0,2
666,8754,49,3,1,45068.0,0,1,3606,11,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,1,1
667,1987,36,0,0,21063.0,1,0,3474,13,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,0,0
668,11007,55,3,1,29187.0,1,0,3613,13,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,0,2
669,7426,52,2,1,54690.0,1,1,3431,15,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,2,2
670,9153,59,3,1,59304.0,0,1,3532,33,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,2,2
671,10379,61,2,0,59247.0,0,2,3430,27,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,2,2
672,9204,53,1,0,66731.0,0,1,3852,20,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,2,2
673,3197,43,1,1,77353.0,0,1,3392,24,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,3,1
674,2920,48,3,0,52614.0,0,1,3772,24,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,2,1
675,6961,49,1,1,26751.0,2,0,3235,12,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,0,1
676,4673,60,3,1,81300.0,0,1,3804,26,17,1004,12,145,32,12,36,3,10,3,5,5,1,0,0,0,0,0,1,3,2
677,9937,44,1,0,70337.0,0,0,3375,18,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,3,1
678,8779,38,2,1,36145.0,1,0,3575,21,13,56,4,76,17,1,18,4,4,1,3,9,0,0,1,0,0,0,1,1,0
679,9596,43,3,0,65295.0,0,0,3385,22,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,2,1
680,2891,60,1,0,68118.0,0,1,3451,29,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,2,2
681,4910,56,1,0,68743.0,0,0,3865,37,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,3,2
682,75,41,2,1,41039.0,0,0,3536,23,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,1,1
683,10120,68,1,1,38946.0,0,1,3445,17,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,1,3
684,6327,56,1,1,65777.0,0,0,3389,18,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,2,2
685,10142,47,3,0,66476.0,0,1,3676,24,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,2,1
686,9826,51,3,0,86857.0,0,0,3852,24,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,3,2
687,1501,41,3,1,160803.0,0,0,3891,44,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,3,1
688,10767,34,3,1,77845.0,0,0,3241,22,40,760,40,480,0,40,26,1,3,5,12,1,1,0,0,0,1,0,0,3,0
689,7279,54,3,1,69476.0,0,0,3469,17,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,3,2
690,7230,63,3,0,50611.0,0,1,3830,28,98,459,0,24,6,0,4,6,4,5,7,6,0,0,0,1,0,0,1,1,2
691,143,53,1,0,61209.0,0,0,3505,15,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,2,2
692,450,65,2,1,42315.0,0,1,3549,15,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,1,2
693,9316,71,0,1,13084.0,0,0,3436,11,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,0,3
694,6379,74,2,0,47570.0,1,1,3593,16,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,1,3
695,9239,62,2,1,61923.0,0,2,3535,11,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,2,2
696,8315,28,1,0,34824.0,0,0,3292,10,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,0,0
697,2868,74,3,0,26518.0,1,1,3644,16,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,0,3
698,10888,62,1,0,45938.0,0,0,3435,26,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,1,2
699,1277,63,1,1,78468.0,0,0,3278,32,29,434,22,388,104,22,34,1,10,7,10,4,1,0,0,0,0,0,0,3,2
700,9977,50,1,0,78901.0,0,1,3482,24,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,3,1
701,10196,45,1,1,71427.0,2,0,3306,24,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,3,1
702,6384,45,1,0,71022.0,0,1,3335,29,30,909,12,278,0,12,242,3,5,2,11,8,0,0,1,0,0,0,0,3,1
703,8029,35,2,0,90247.0,0,0,3258,16,27,1184,32,352,21,16,16,1,3,4,7,1,1,0,0,1,1,0,1,3,0
704,968,55,2,0,41335.0,1,0,3382,19,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,1,2
705,6988,37,1,1,71952.0,1,0,3732,26,93,656,80,455,52,107,93,2,8,4,8,4,0,0,1,0,1,0,0,3,0
706,4472,53,3,0,35682.0,1,0,3199,8,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,1,2
707,6991,72,1,0,43185.0,0,1,3642,28,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,1,3
708,3336,75,3,1,66375.0,0,1,3417,21,96,712,0,45,0,0,191,3,2,4,5,7,0,0,1,0,0,0,0,2,3
709,4301,52,2,1,35178.0,1,0,3732,12,10,23,1,13,2,2,18,1,1,1,2,7,0,0,1,0,0,0,1,0,2
710,1940,37,1,1,25252.0,1,0,3549,12,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,0,0
711,1272,58,2,0,55250.0,0,1,3813,31,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,2,2
712,1388,48,1,0,33249.0,1,0,3691,14,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,0,1
713,1044,70,1,1,58398.0,0,0,3608,24,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,2,3
714,6969,41,1,1,50272.0,1,0,3523,20,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,1,1
715,10479,48,3,1,76618.0,0,0,3766,12,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,3,1
716,3619,63,2,0,87305.0,0,0,3841,19,19,345,25,501,63,138,80,1,5,3,8,2,0,0,0,0,1,0,1,3,2
717,1715,45,1,1,25851.0,1,0,3700,14,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,0,1
718,10159,53,1,0,58710.0,0,1,3652,37,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,2,2
719,1463,65,1,0,45160.0,1,1,3289,11,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,1,2
720,5114,58,2,1,74806.0,0,1,3754,20,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,3,2
721,4990,69,1,1,59111.0,0,0,3620,28,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,2,3
722,4329,39,3,1,18988.0,1,0,3234,13,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,0,0
723,10936,58,1,1,72190.0,0,0,3698,19,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,3,2
724,4692,47,1,1,7500.0,1,0,3894,21,19,7,0,12,13,7,32,5,4,1,2,9,0,0,1,0,0,0,1,0,1
725,7212,57,1,1,44794.0,0,1,3218,12,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,1,2
726,6086,68,1,1,80395.0,0,0,3415,26,62,445,25,706,80,76,48,1,6,5,12,2,1,0,0,0,0,0,0,3,3
727,437,47,2,0,75012.0,0,0,3352,24,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,3,1
728,11171,58,2,1,56962.0,2,1,3458,28,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,2,2
729,11101,32,1,1,89891.0,0,0,3637,30,17,412,22,132,59,28,183,1,11,6,8,4,0,0,0,0,1,0,0,3,0
730,5329,74,3,0,35946.0,1,1,3472,9,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,1,3
731,610,70,3,1,53593.0,1,1,3888,31,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,2,3
732,9384,45,1,1,66373.0,1,1,3579,26,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,2,1
733,5956,75,3,0,45072.0,1,2,3453,24,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,1,3
734,10430,50,1,0,89694.0,1,1,3460,19,22,1126,28,211,37,28,42,3,4,3,4,5,1,0,0,1,1,0,0,3,1
735,7875,74,1,1,72025.0,0,0,3258,28,46,967,0,617,43,50,0,1,4,8,13,2,1,0,0,1,1,0,1,3,3
736,7072,50,1,1,67432.0,0,1,3654,23,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,2,1
737,6255,71,2,1,70545.0,0,1,3223,15,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,3,3
738,6516,34,0,1,17487.0,1,0,3665,11,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,0,0
739,5564,54,1,1,62882.0,0,1,3886,24,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,2,2
740,5682,70,3,0,64108.0,0,1,3660,35,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,2,3
741,7458,67,2,1,34941.0,1,1,3677,16,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,0,3
742,5237,73,3,0,48767.0,1,2,3376,14,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0,1,3
743,7761,45,2,1,38702.0,1,0,3529,15,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,0,1,1
744,5278,59,1,1,82224.0,0,0,3352,24,83,307,26,360,138,31,40,1,6,9,5,3,1,0,0,0,0,0,0,3,2
745,3560,71,1,1,83844.0,0,0,3610,21,57,901,31,345,75,31,191,1,4,4,11,1,0,0,0,0,1,0,0,3,3
746,7235,48,2,1,17003.0,1,0,3399,14,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,0,0,1
747,10548,28,1,0,71163.0,0,0,3309,25,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,3,0
748,2281,53,1,0,33697.0,1,0,3484,11,34,4,3,7,0,3,11,1,1,0,2,7,0,0,1,0,0,0,0,0,2
749,4073,69,2,1,63564.0,0,0,3348,34,0,769,80,252,15,34,65,1,10,10,7,6,0,0,1,0,0,0,1,2,3
750,6974,51,3,1,83443.0,0,0,3377,24,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,0,3,2
751,7938,65,3,1,51518.0,0,1,3466,20,92,350,8,66,17,4,4,2,3,2,10,3,0,0,0,0,0,0,0,2,2
752,7094,48,1,0,58330.0,0,1,3383,28,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,2,1
